epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,999.365,1.49085,2.94024,1.46518,0.94813,0.02196,0.02489,0.01434,1.46095,2.66804,1.4517,0.000467512,0.000467512,0.000467512
2,1493.78,1.55161,2.1795,1.49621,0.3079,0.06086,0.04757,0.02175,1.56601,3.27952,1.57973,0.00093401,0.00093401,0.00093401
3,1860.7,1.56684,2.05642,1.49255,0.35319,0.00798,0.00189,0.00049,2.51823,5.06398,2.88063,0.00139058,0.00139058,0.00139058
4,2260.11,1.54542,1.94031,1.49869,0.36165,0.05886,0.03365,0.01517,1.92458,2.69652,1.8031,0.00138432,0.00138432,0.00138432
5,2725.97,1.54417,1.87283,1.5039,0.53208,0.04706,0.04998,0.0317,1.64633,2.72703,1.72987,0.00136943,0.00136943,0.00136943
6,3540.47,1.40922,1.72798,1.42097,0.46853,0.05288,0.04883,0.0328,1.42792,2.33236,1.47911,0.00135454,0.00135454,0.00135454
7,1303.28,1.43135,1.6819,1.42738,0.77475,0.05886,0.06062,0.04324,1.48731,2.68094,1.54611,0.00133965,0.00133965,0.00133965
8,3070.47,1.34232,1.61955,1.38328,0.33487,0.05886,0.03965,0.02022,1.55069,2.06155,1.59542,0.00132476,0.00132476,0.00132476
9,685.376,1.51441,1.77102,1.77708,0.49723,0.06286,0.06095,0.04041,1.44307,2.93056,1.96969,0.00130987,0.00130987,0.00130987
10,1169.32,1.3965,1.47187,1.42193,0.72589,0.05886,0.06423,0.04389,1.34403,1.33557,1.51351,0.00129497,0.00129497,0.00129497
11,1635.61,1.44054,1.49002,1.43657,0.64961,0.05487,0.0603,0.03408,1.28237,1.41161,1.30505,0.00128008,0.00128008,0.00128008
12,2208.84,1.41034,1.44962,1.43185,0.48538,0.06086,0.06486,0.03783,1.42461,1.57254,1.49531,0.00126519,0.00126519,0.00126519
13,2784.3,1.35168,1.39585,1.42026,0.89299,0.05687,0.06624,0.04794,1.14717,1.10403,1.21302,0.0012503,0.0012503,0.0012503
14,578.555,1.29444,1.30397,1.38054,0.34472,0.06286,0.05551,0.03483,1.31182,1.19919,2.47083,0.00123541,0.00123541,0.00123541
15,1036.72,1.2203,1.21004,1.32316,0.70095,0.05886,0.06732,0.04344,1.35725,1.20366,1.3244,0.00122052,0.00122052,0.00122052
16,1487.7,1.24723,1.22938,1.33788,0.6938,0.06086,0.0788,0.05732,1.19568,1.17835,1.20885,0.00120562,0.00120562,0.00120562
17,1922.37,1.23396,1.20782,1.37895,0.84201,0.06086,0.09173,0.05663,1.13786,1.08981,1.19016,0.00119073,0.00119073,0.00119073
18,624.852,1.1605,1.11213,1.29955,0.81433,0.06286,0.08003,0.06345,1.18556,1.01615,1.21578,0.00117584,0.00117584,0.00117584
19,1114.76,1.11622,1.07336,1.26047,0.8238,0.06086,0.08377,0.05932,1.26724,0.97794,1.3138,0.00116095,0.00116095,0.00116095
20,1642.85,1.1246,1.07932,1.25205,0.4515,0.06485,0.09986,0.06907,1.19224,1.07718,1.21788,0.00114606,0.00114606,0.00114606
21,2247.14,1.11453,1.05789,1.27302,0.59823,0.0818,0.10037,0.06599,1.16094,0.90422,1.21918,0.00113117,0.00113117,0.00113117
22,3173.33,1.18845,1.11517,1.38357,0.29885,0.0784,0.0683,0.04863,1.03316,0.80731,1.14339,0.00111627,0.00111627,0.00111627
23,4128.17,1.16431,1.14508,1.28701,0.31888,0.08838,0.06182,0.04349,1.09425,0.99554,1.17269,0.00110138,0.00110138,0.00110138
24,578.304,1.04886,1.00869,1.22144,0.52857,0.06286,0.08304,0.05198,1.0325,0.90653,1.11603,0.00108649,0.00108649,0.00108649
25,1005.93,0.99883,0.94184,1.18761,0.69373,0.07284,0.11516,0.08093,1.12683,0.85412,1.16768,0.0010716,0.0010716,0.0010716
26,1382.67,1.00029,0.91612,1.19441,0.78201,0.07284,0.09524,0.07676,0.98373,0.78596,1.09041,0.00105671,0.00105671,0.00105671
27,1745.71,1.00756,0.95179,1.20752,0.66476,0.10312,0.12374,0.09329,1.01243,0.84382,1.11015,0.00104182,0.00104182,0.00104182
28,628.472,0.97126,0.91744,1.17633,0.87574,0.07084,0.09809,0.07865,0.96186,0.75932,1.07361,0.00102692,0.00102692,0.00102692
29,1141.95,0.90523,0.85258,1.14281,0.5897,0.10194,0.12438,0.08437,0.99504,0.72638,1.12197,0.00101203,0.00101203,0.00101203
30,1523.38,0.95242,0.84875,1.16171,0.79964,0.09437,0.12194,0.07793,1.10491,0.77602,1.17078,0.000997141,0.000997141,0.000997141
31,1912.07,0.95499,0.88644,1.17999,0.75116,0.11633,0.13918,0.10015,0.96231,0.77185,1.09334,0.000982249,0.000982249,0.000982249
32,574.096,1.13174,1.26052,1.74731,0.30915,0.07226,0.08834,0.04732,1.18801,1.04076,1.34277,0.000967358,0.000967358,0.000967358
33,1003.56,0.97225,0.99174,1.31499,0.42784,0.107,0.13167,0.08727,1.05048,0.9666,1.19561,0.000952466,0.000952466,0.000952466
34,1441.67,0.93916,0.88071,1.24792,0.77058,0.07483,0.10039,0.05889,1.01097,0.8499,1.13819,0.000937574,0.000937574,0.000937574
35,585.373,0.90673,0.8631,1.23917,0.44726,0.08639,0.10898,0.07286,0.99181,0.91291,1.16647,0.000922683,0.000922683,0.000922683
36,999.421,0.85388,0.80768,1.17222,0.70854,0.07284,0.0988,0.06707,0.97108,0.74356,1.09562,0.000907791,0.000907791,0.000907791
37,1427.61,0.84028,0.78018,1.16035,0.88234,0.16563,0.22664,0.15709,1.01278,0.7638,1.14186,0.000892899,0.000892899,0.000892899
38,1801.55,0.93479,0.85548,1.22108,0.62886,0.1928,0.21987,0.16202,0.96921,0.77229,1.1281,0.000878008,0.000878008,0.000878008
39,2252.76,1.06349,0.94407,1.29614,0.71757,0.1808,0.21156,0.15297,0.90705,0.70438,1.06927,0.000863116,0.000863116,0.000863116
40,587.059,0.79763,0.76826,1.14508,0.61007,0.08284,0.13449,0.0856,0.91562,0.67125,1.08641,0.000848224,0.000848224,0.000848224
41,986.264,0.74631,0.69789,1.09683,0.83371,0.08282,0.12218,0.08194,0.89835,0.67419,1.0296,0.000833333,0.000833333,0.000833333
42,582.564,0.71991,0.64819,1.08341,0.58493,0.10593,0.16102,0.12079,0.8793,0.65504,1.0479,0.000818441,0.000818441,0.000818441
43,575.663,0.65866,0.59211,1.04583,0.89801,0.06884,0.13063,0.09241,0.86898,0.67542,1.04446,0.000803549,0.000803549,0.000803549
44,1316.89,0.68605,0.61196,1.0601,0.4841,0.10236,0.12625,0.09399,0.86259,0.62209,1.04248,0.000788658,0.000788658,0.000788658
45,2548.62,0.75402,0.66312,1.08632,0.90563,0.08282,0.15817,0.11246,0.87781,0.64512,1.05575,0.000773766,0.000773766,0.000773766
46,4622.86,0.84016,0.73033,1.14206,0.66432,0.2197,0.25845,0.1949,0.92508,0.68602,1.07341,0.000758874,0.000758874,0.000758874
47,1062.36,0.67415,0.59908,1.04555,0.57308,0.09045,0.15456,0.10648,0.89072,0.63329,1.05515,0.000743983,0.000743983,0.000743983
48,2437.83,0.63116,0.55625,1.02804,0.65378,0.12254,0.20676,0.12958,0.87396,0.61924,1.03604,0.000729091,0.000729091,0.000729091
49,610.448,0.59767,0.51153,1.00673,0.90694,0.07284,0.15529,0.11382,0.84693,0.59436,1.04134,0.000714199,0.000714199,0.000714199
50,1136.78,0.60199,0.51105,1.01048,0.9029,0.22771,0.30754,0.23166,0.81344,0.58426,1.00397,0.000699307,0.000699307,0.000699307
51,1635.57,0.71659,0.59468,1.05718,0.93957,0.27072,0.35598,0.27032,0.831,0.60504,1.00868,0.000684416,0.000684416,0.000684416
52,2204.32,0.76491,0.6506,1.09666,0.91145,0.31133,0.38733,0.31134,0.82892,0.59054,1.01596,0.000669524,0.000669524,0.000669524
53,591.018,0.56925,0.50764,0.99484,0.88238,0.10992,0.1968,0.15443,0.76519,0.57258,1.00267,0.000654632,0.000654632,0.000654632
54,975.735,0.57307,0.48171,0.99644,0.85631,0.22299,0.31373,0.23002,0.87636,0.63015,1.05197,0.000639741,0.000639741,0.000639741
55,1333.23,0.66392,0.53887,1.02429,0.90468,0.35367,0.42185,0.3315,0.8181,0.59198,1.03139,0.000624849,0.000624849,0.000624849
56,1711.32,0.72628,0.58817,1.06588,0.88448,0.57039,0.64454,0.49398,0.81068,0.57642,1.0257,0.000609957,0.000609957,0.000609957
57,2127.74,0.91743,0.75103,1.19235,0.88441,0.36671,0.40306,0.31185,0.83578,0.56894,1.04574,0.000595066,0.000595066,0.000595066
58,576.666,0.5637,0.51029,0.99462,0.7077,0.11192,0.17007,0.12538,0.8515,0.60908,1.05541,0.000580174,0.000580174,0.000580174
59,970.23,0.54669,0.46707,0.98513,0.91907,0.28451,0.37728,0.28774,0.82104,0.58291,1.01371,0.000565282,0.000565282,0.000565282
60,1374.57,0.63169,0.50864,1.00903,0.84877,0.51407,0.55429,0.43101,0.80728,0.56085,1.00958,0.000550391,0.000550391,0.000550391
61,1803.33,0.66775,0.53886,1.03788,0.93815,0.63473,0.70211,0.52969,0.82808,0.57616,1.01907,0.000535499,0.000535499,0.000535499
62,2251.42,0.81988,0.66431,1.12411,0.89617,0.48897,0.52998,0.40943,0.82033,0.55113,1.04811,0.000520607,0.000520607,0.000520607
63,2670.36,0.96606,0.81054,1.21832,0.62286,0.18178,0.21826,0.161,0.84055,0.58944,1.05637,0.000505716,0.000505716,0.000505716
64,584.842,0.51623,0.48647,0.98137,0.7666,0.11903,0.22337,0.17097,0.75684,0.50478,0.98936,0.000490824,0.000490824,0.000490824
65,962.13,0.51466,0.44197,0.97342,0.76675,0.27565,0.33363,0.27338,0.82343,0.5614,1.02622,0.000475932,0.000475932,0.000475932
66,1374.32,0.59225,0.47824,0.99385,0.85382,0.35307,0.41203,0.31025,0.8635,0.5826,1.0343,0.000461041,0.000461041,0.000461041
67,1714.84,0.62605,0.50383,1.02568,0.95469,0.64905,0.7356,0.55326,0.77407,0.54459,0.98877,0.000446149,0.000446149,0.000446149
68,585.036,0.47545,0.41382,0.95311,0.73232,0.09437,0.18297,0.13867,0.75187,0.52017,0.99308,0.000431257,0.000431257,0.000431257
